Episode,Epsilon,Touches Session,Touches Globales,Reward,TD Error,True Value,Estimate Value,Loss
0,0.9,1,1,1,1.0889712989999998,1.198871299,0.1099,0.5929292450228735
0,0.9,1,1,1,0.9978120287009999,1.216609158601,0.2187971299,0.49781442231020256
1,0.9,1,1,-9,0,0,0,0
1,0.9,0,1,0,0.2863977016040792,0.5436098905545891,0.2572121889505099,0.04101182174204959
1,0.9,0,1,0,-0.005491008995500923,0.5436098905545891,0.54910089955009,1.5075589894336029e-05
1,0.9,0,1,0,0.17993192180352457,0.5430662806640345,0.36313435886050993,0.01618774824195484
1,0.9,0,1,0,0.2572143215531167,0.5430662806640345,0.2858519591109178,0.03307960360601506
1,0.9,0,1,0,-0.3115733912662295,0.0,0.3115733912662295,0.048538989072569476
1,0.9,0,1,0,0.0,0.0,0.0,0.0
1,0.9,0,1,0,0.0,0.0,0.0,0.0
1,0.9,0,1,0,0.0,0.0,0.0,0.0
1,0.9,0,1,0,0.0,0.0,0.0,0.0
