Episode,Epsilon,Touches Session,Touches Globales,Reward,Episode Reward,Episode Duration,Episode Loss,True Value,Value Estimate,TD Error
163,0.1,1,72,-10,-10,0.0,0,-10.0,-8.276279199546913,-1.723720800453087
164,0.1,1,73,-10,-10,0.0,0,-10.0,-8.328565660999246,-1.6714343390007542
165,0.1,1,74,-10,-10,0.0,0,-10.0,-7.991204531832121,-2.008795468167879
166,0.1,1,75,-10,-10,0.0,0,-10.0,-9.912463407913418,-0.08753659208658249
167,0.1,0,75,-10,-10,0.0,0,-10.0,-9.73,-0.2699999999999996
168,0.1,0,75,-10,-10,0.0,0,-10.0,-9.73,-0.2699999999999996
169,0.1,1,76,-10,-10,0.0,0,-10.0,-8.224158526079623,-1.7758414739203765
170,0.1,0,76,-10,-10,0.0,0,-10.0,-9.73,-0.2699999999999996
171,0.1,0,76,-10,-10,0.0,0,-10.0,-9.919,-0.08099999999999952
172,0.1,1,77,-10,-10,0.0,0,-10.0,-8.94912557068087,-1.0508744293191299
173,0.1,0,77,-10,-10,0.0,0,-10.0,-9.99999468559,-5.314410000067937e-06
174,0.1,0,77,-10,-10,0.0,0,-10.0,-9.73,-0.2699999999999996
175,0.1,0,77,-10,-10,0.0,0,-10.0,-9.919,-0.08099999999999952
176,0.1,0,77,-10,-10,0.0,0,-10.0,-9.997813,-0.002186999999999273
177,0.1,1,78,-10,-10,0.0,0,-10.0,-6.789999999999999,-3.210000000000001
178,0.1,0,78,-10,-10,0.0,0,-10.0,-9.919,-0.08099999999999952
179,0.1,1,79,-10,-10,0.0,0,-10.0,-8.099577960401437,-1.9004220395985634
180,0.1,1,80,-10,-10,0.0,0,-10.0,-9.498569698299773,-0.5014303017002266
181,0.1,0,80,-10,-10,0.0005109310150146484,0,-10.0,-9.919,-0.08099999999999952
182,0.1,0,80,-10,-10,0.0,0,-10.0,-9.919,-0.08099999999999952
183,0.1,1,81,-10,-10,0.0,0,-10.0,-8.594024726726465,-1.405975273273535
184,0.1,1,82,-10,-10,0.0,0,-10.0,-8.155069322058516,-1.844930677941484
185,0.1,0,82,-10,-10,0.0,0,-10.0,-9.9757,-0.02430000000000021
186,0.1,1,83,-10,-10,0.0,0,-10.0,-9.036999999999999,-0.963000000000001
