Episode,Epsilon,Reward,Reward cumulee,Episode Duration,Loss,True Value,Value Estimate,TD Error,Touches Joueur 2,Touches Joueur 2 Cumulees
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.095683865,0.094743565,0.0009403005,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.068298,0.122229226,-0.05393123,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.052554727,0.06932247,-0.01676774,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.025094,0.0497682,-0.024674198,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.09440263,0.15078466,-0.056382023,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.108085655,0.099306114,0.008779541,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.15852834,0.15547898,0.0030493587,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.09552697,0.14682479,-0.05129782,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.09490679,0.14588803,-0.05098124,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.13448817,-0.0191378,0.15362597,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.13573432,-0.0012910832,0.1370254,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.09432502,0.0024840515,0.09184097,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.036633864,0.062110785,-0.025476921,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.13468368,0.003262082,0.1314216,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.14694448,-0.2697774,0.41672188,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.13396026,0.19124162,-0.05728136,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.10665612,0.17309766,-0.066441536,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.07785919,0.07412114,0.0037380531,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.063460685,0.05258187,0.010878816,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.089675546,0.08850862,0.0011669248,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.09175264,0.089859314,0.0018933266,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.07396957,0.13564914,-0.061679572,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.056315552,0.07134731,-0.015031759,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.088340886,0.1351702,-0.04682932,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.084381014,0.12949215,-0.045111135,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.15908563,0.10258744,0.056498192,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.15280883,0.10279002,0.05001881,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.15967685,0.10325657,0.05642028,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.1365248,0.10699431,0.029530488,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.09291687,0.0064697694,0.0864471,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.10144708,0.04391948,0.0575276,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.1333178,0.19584359,-0.062525794,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.15488666,0.07121328,0.08367338,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.149137,-0.27132556,0.42046255,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.06706085,0.07553511,-0.008474261,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.15834522,-0.2775044,0.43584964,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.15364553,0.10252037,0.05112516,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.1590398,-0.2780578,0.4370976,0,0
